,team attendance early clock out,team early clock out,team early clockout,team leave early,view early clock-out team members,which team member left office early,which team member went home early,who clocked out early,who left early today,who left office early
team attendance early clock out,0.0,0.33700103308958973,0.35079417995927775,0.3370845157361586,0.4187342643977717,0.6612140317802945,0.514691605080261,0.448565836614203,0.5400722523221753,0.7701786409232521
team early clock out,0.33700103308958973,1.1102230246251565e-16,0.053255059903342894,0.37375799296440537,0.4432093229520577,0.63816113752169,0.4718806625729711,0.2451786425581869,0.6036821962939201,0.7285582378352708
team early clockout,0.35079417995927775,0.053255059903342894,0.0,0.36889486041018127,0.41619510553238515,0.6351343088874222,0.49133285261556425,0.26522310306041896,0.6296246981980551,0.72822268921232
team leave early,0.3370845157361586,0.37375799296440537,0.36889486041018127,0.0,0.4300492280645325,0.36371027412852674,0.31432142491256665,0.43064639320339915,0.3792898570808926,0.5857632680366325
view early clock-out team members,0.4187342643977717,0.4432093229520577,0.41619510553238515,0.4300492280645325,0.0,0.5104470182502964,0.468874170228997,0.4818360179278798,0.607271309499266,0.7442583697983884
which team member left office early,0.6612140317802945,0.63816113752169,0.6351343088874222,0.36371027412852674,0.5104470182502964,1.1102230246251565e-16,0.25651825568418063,0.5131992706605573,0.44180375323601384,0.30103668293969676
which team member went home early,0.514691605080261,0.4718806625729711,0.49133285261556425,0.31432142491256665,0.468874170228997,0.25651825568418063,0.0,0.29207982782151753,0.3517189139029494,0.5495027538550759
who clocked out early,0.448565836614203,0.2451786425581869,0.26522310306041896,0.43064639320339915,0.4818360179278798,0.5131992706605573,0.29207982782151753,0.0,0.39005105389705963,0.5687680598547722
who left early today,0.5400722523221753,0.6036821962939201,0.6296246981980551,0.3792898570808926,0.607271309499266,0.44180375323601384,0.3517189139029494,0.39005105389705963,2.220446049250313e-16,0.5179553020718826
who left office early,0.7701786409232521,0.7285582378352708,0.72822268921232,0.5857632680366325,0.7442583697983884,0.30103668293969676,0.5495027538550759,0.5687680598547722,0.5179553020718826,0.0
