,"Instead of birthday, you are giving mr holiday list",View birthday list,birthday,birthday list for next week,birthday list from tomorrow to sunday,in events not showing birthday,pavithra govindraj birthday,self birth date,upcoming birthdays,view birthday list,view birthday list for tomorrow,when is my birthday,who has birthday,who has birthdays coming up,who has birthdays this month,whose birthday is coming up
"Instead of birthday, you are giving mr holiday list",0.0,0.4055142414306322,0.4731010675684295,0.43260301786322275,0.4626133882247062,0.5290004156998684,0.6636323606496516,0.6302866095655622,0.40733238489881596,0.4055142414306322,0.4230786696318355,0.5671287552957827,0.4024574813176425,0.46038742767976226,0.5516206809142582,0.40339170233889654
View birthday list,0.4055142414306322,2.220446049250313e-16,0.42373441095699305,0.34153088014235655,0.3402194968194926,0.323434903310582,0.5844780987592719,0.5335394493173082,0.32251312090281214,2.220446049250313e-16,0.10951799168419252,0.46040388415995137,0.31360443634854784,0.38703847381241474,0.41282394204289385,0.42199800049757397
birthday,0.4731010675684295,0.42373441095699305,1.1102230246251565e-16,0.47659645331694533,0.5211248902874133,0.48224124004728197,0.5368040395108546,0.45791395908589005,0.31484423176425,0.42373441095699305,0.4645256125364233,0.32800522554078915,0.2614797683929899,0.40667279001259116,0.44943356981492444,0.3699775541577832
birthday list for next week,0.43260301786322275,0.34153088014235655,0.47659645331694533,0.0,0.07715298966699757,0.505777663042543,0.5833270603213745,0.592560409065943,0.20974296060058006,0.34153088014235655,0.28130542356307997,0.4232096525058239,0.31917200356618536,0.23393931921715494,0.2965031182401019,0.2623134257701204
birthday list from tomorrow to sunday,0.4626133882247062,0.3402194968194926,0.5211248902874133,0.07715298966699757,0.0,0.5327859234926754,0.5811480959674871,0.6098248921164615,0.26953412188392545,0.3402194968194926,0.23902189829774423,0.41726996413924455,0.3445447236832516,0.29283884219156586,0.33128401856547895,0.31117278072321986
in events not showing birthday,0.5290004156998684,0.323434903310582,0.48224124004728197,0.505777663042543,0.5327859234926754,0.0,0.625063072738044,0.5382251245351248,0.42023512085901993,0.323434903310582,0.3867318675292196,0.4800948559411694,0.4176551807602241,0.45606156240034923,0.4689899718096783,0.4953137056995618
pavithra govindraj birthday,0.6636323606496516,0.5844780987592719,0.5368040395108546,0.5833270603213745,0.5811480959674871,0.625063072738044,2.220446049250313e-16,0.5850908086680695,0.5521520207933774,0.5844780987592719,0.5952199689514253,0.552495264817791,0.5546602916799799,0.5845419465921664,0.6158368145964661,0.5444345693881301
self birth date,0.6302866095655622,0.5335394493173082,0.45791395908589005,0.592560409065943,0.6098248921164615,0.5382251245351248,0.5850908086680695,0.0,0.4715635016848374,0.5335394493173082,0.5505967671320744,0.3517396880278384,0.454465099348521,0.5352221691494461,0.5482951826873577,0.5270915733835189
upcoming birthdays,0.40733238489881596,0.32251312090281214,0.31484423176425,0.20974296060058006,0.26953412188392545,0.42023512085901993,0.5521520207933774,0.4715635016848374,1.1102230246251565e-16,0.32251312090281214,0.28194934915464054,0.3445208830876464,0.2810972092018569,0.14684575360451102,0.3077801276734272,0.25601513140808463
view birthday list,0.4055142414306322,2.220446049250313e-16,0.42373441095699305,0.34153088014235655,0.3402194968194926,0.323434903310582,0.5844780987592719,0.5335394493173082,0.32251312090281214,2.220446049250313e-16,0.10951799168419252,0.46040388415995137,0.31360443634854784,0.38703847381241474,0.41282394204289385,0.42199800049757397
view birthday list for tomorrow,0.4230786696318355,0.10951799168419252,0.4645256125364233,0.28130542356307997,0.23902189829774423,0.3867318675292196,0.5952199689514253,0.5505967671320744,0.28194934915464054,0.10951799168419252,0.0,0.42617433862725773,0.3420388185498412,0.34380503775748317,0.4304458835294692,0.37441912221293905
when is my birthday,0.5671287552957827,0.46040388415995137,0.32800522554078915,0.4232096525058239,0.41726996413924455,0.4800948559411694,0.552495264817791,0.3517396880278384,0.3445208830876464,0.46040388415995137,0.42617433862725773,0.0,0.3527334490243854,0.3847832186750697,0.39038601977534204,0.3930262234576063
who has birthday,0.4024574813176425,0.31360443634854784,0.2614797683929899,0.31917200356618536,0.3445447236832516,0.4176551807602241,0.5546602916799799,0.454465099348521,0.2810972092018569,0.31360443634854784,0.3420388185498412,0.3527334490243854,0.0,0.20418605168786896,0.21810547462892638,0.20691402497400013
who has birthdays coming up,0.46038742767976226,0.38703847381241474,0.40667279001259116,0.23393931921715494,0.29283884219156586,0.45606156240034923,0.5845419465921664,0.5352221691494461,0.14684575360451102,0.38703847381241474,0.34380503775748317,0.3847832186750697,0.20418605168786896,0.0,0.19303214344562825,0.1318057650325063
who has birthdays this month,0.5516206809142582,0.41282394204289385,0.44943356981492444,0.2965031182401019,0.33128401856547895,0.4689899718096783,0.6158368145964661,0.5482951826873577,0.3077801276734272,0.41282394204289385,0.4304458835294692,0.39038601977534204,0.21810547462892638,0.19303214344562825,1.1102230246251565e-16,0.25445342249608405
whose birthday is coming up,0.40339170233889654,0.42199800049757397,0.3699775541577832,0.2623134257701204,0.31117278072321986,0.4953137056995618,0.5444345693881301,0.5270915733835189,0.25601513140808463,0.42199800049757397,0.37441912221293905,0.3930262234576063,0.20691402497400013,0.1318057650325063,0.25445342249608405,0.0
