,Employee id card&tag required,digital card,ecard,how can i log in on mobile with the help ofQR code,id,id card application,l need to request new id card with tag,need ful me my ecard,new id card request,print visiting card,view virtual ID,virtual ID,virtual id,visiting card
Employee id card&tag required,0.0,0.6949192029222486,0.8182641604802807,0.8433025540735172,0.717496916414375,0.41254077448015203,0.3504891397975618,0.7782767774927668,0.44154672510114723,0.703642923940538,0.7096973866871965,0.5755490078500518,0.5755490078500518,0.6823302777070169
digital card,0.6949192029222486,1.1102230246251565e-16,0.8021193418377115,0.9051941175585129,0.805943400517717,0.5352681519558882,0.6148169585943328,0.7894127332769377,0.568274539776389,0.5964815322646433,0.823400050690889,0.6908723287932922,0.6908723287932922,0.47077306610592107
ecard,0.8182641604802807,0.8021193418377115,0.0,0.9698842801855672,0.7881067066944125,0.8581246549929659,0.7786910114600232,0.32401283215440224,0.8374584941116086,0.8477175672391879,0.9370866992214246,0.896180199535717,0.896180199535717,0.8204978227427371
how can i log in on mobile with the help ofQR code,0.8433025540735172,0.9051941175585129,0.9698842801855672,0.0,0.8363496742176784,0.8053452247283918,0.74756015210672,0.8601892824011834,0.8500453258894026,0.8452138742086323,0.8163002760967031,0.7951985603348037,0.7951985603348037,0.8899833227668195
id,0.717496916414375,0.805943400517717,0.7881067066944125,0.8363496742176784,1.1102230246251565e-16,0.5978678509901711,0.5961653801755662,0.7534268185240838,0.6283415187858123,0.9140331763796525,0.5792208075005052,0.5510472693205628,0.5510472693205628,0.8853416613615144
id card application,0.41254077448015203,0.5352681519558882,0.8581246549929659,0.8053452247283918,0.5978678509901711,0.0,0.3339241012773315,0.7427401355863033,0.2149858500807874,0.6307174230560324,0.6505084951383249,0.48283121880262503,0.48283121880262503,0.5710600934527299
l need to request new id card with tag,0.3504891397975618,0.6148169585943328,0.7786910114600232,0.74756015210672,0.5961653801755662,0.3339241012773315,0.0,0.5857541614084867,0.20179656749266328,0.6642424171224912,0.6379081170704355,0.5142709594537657,0.5142709594537657,0.6336990190086762
need ful me my ecard,0.7782767774927668,0.7894127332769377,0.32401283215440224,0.8601892824011834,0.7534268185240838,0.7427401355863033,0.5857541614084867,0.0,0.7199664098799964,0.802871118077189,0.8784600923582455,0.8654312861822312,0.8654312861822312,0.8014590653755388
new id card request,0.44154672510114723,0.568274539776389,0.8374584941116086,0.8500453258894026,0.6283415187858123,0.2149858500807874,0.20179656749266328,0.7199664098799964,0.0,0.6069822214283511,0.6585801981760114,0.4798369428554359,0.4798369428554359,0.5581481715314729
print visiting card,0.703642923940538,0.5964815322646433,0.8477175672391879,0.8452138742086323,0.9140331763796525,0.6307174230560324,0.6642424171224912,0.802871118077189,0.6069822214283511,0.0,0.7314649871758072,0.7391811264093222,0.7391811264093222,0.21977534161339263
view virtual ID,0.7096973866871965,0.823400050690889,0.9370866992214246,0.8163002760967031,0.5792208075005052,0.6505084951383249,0.6379081170704355,0.8784600923582455,0.6585801981760114,0.7314649871758072,1.1102230246251565e-16,0.18845078807251914,0.18845078807251914,0.7194027624738336
virtual ID,0.5755490078500518,0.6908723287932922,0.896180199535717,0.7951985603348037,0.5510472693205628,0.48283121880262503,0.5142709594537657,0.8654312861822312,0.4798369428554359,0.7391811264093222,0.18845078807251914,0.0,0.0,0.6449103517347674
virtual id,0.5755490078500518,0.6908723287932922,0.896180199535717,0.7951985603348037,0.5510472693205628,0.48283121880262503,0.5142709594537657,0.8654312861822312,0.4798369428554359,0.7391811264093222,0.18845078807251914,0.0,0.0,0.6449103517347674
visiting card,0.6823302777070169,0.47077306610592107,0.8204978227427371,0.8899833227668195,0.8853416613615144,0.5710600934527299,0.6336990190086762,0.8014590653755388,0.5581481715314729,0.21977534161339263,0.7194027624738336,0.6449103517347674,0.6449103517347674,0.0
